order_id,customer_id,product_id,product_name,quantity,unit_price,order_date,category
1001,CUST001,PROD101,"Ноутбук Lenovo IdeaPad",1,45000.50,"2024-01-15","Электроника"
1002,CUST002,PROD205,"Футболка хлопковая",2,1200.00,"2024-01-15","Одежда"
1003,CUST001,PROD305,"Книга 'Python для начинающих'",1,1500.75,"2024-01-16","Книги"
1004,CUST003,PROD101,"Ноутбук Lenovo IdeaPad",1,45000.50,"2024-01-16","Электроника"
1005,CUST004,PROD402,"Кофеварка автоматическая",1,8900.00,"2024-01-17","Бытовая техника"
1006,CUST002,PROD208,"Джинсы классические",1,3500.00,"2024-01-17","Одежда"
1007,CUST005,PROD501,"Смартфон Samsung Galaxy",1,32000.00,"2024-01-18","Электроника"
1008,CUST006,PROD306,"Книга 'Искусство общения'",1,980.50,"2024-01-18","Книги"
1009,CUST003,PROD403,"Микроволновая печь",1,5600.00,"2024-01-19","Бытовая техника"
1010,CUST007,PROD102,"Игровая мышь Razer",1,2500.00,"2024-01-19","Электроника"
1011,CUST004,PROD209,"Куртка зимняя",1,7800.00,"2024-01-20","Одежда"
1012,CUST008,PROD307,"Учебник по математике",3,1200.00,"2024-01-20","Книги"
1013,CUST005,PROD103,"Наушники Sony",2,4500.00,"2024-01-21","Электроника"
1014,CUST009,PROD404,"Электрический чайник",1,2400.00,"2024-01-21","Бытовая техника"
1015,CUST006,PROD210,"Спортивный костюм",1,5200.00,"2024-01-22","Одежда"
1016,CUST010,PROD308,"Роман 'Мастер и Маргарита'",1,650.00,"2024-01-22","Книги"
1017,CUST007,PROD104,"Планшет iPad",1,55000.00,"2024-01-23","Электроника"
1018,CUST008,PROD405,"Блендер погружной",1,3200.00,"2024-01-23","Бытовая техника"
1019,CUST009,PROD211,"Рубашка офисная",2,1800.00,"2024-01-24","Одежда"
1020,CUST011,PROD309,"Детская энциклопедия",1,890.00,"2024-01-24","Книги"
1021,CUST010,PROD105,"Монитор 24 дюйма",1,15600.00,"2024-01-25","Электроника"
1022,CUST012,PROD406,"Утюг с парогенератором",1,4300.00,"2024-01-25","Бытовая техника"
1023,CUST011,PROD212,"Платье вечернее",1,6200.00,"2024-01-26","Одежда"
1024,CUST013,PROD310,"Комиксы Marvel",2,450.00,"2024-01-26","Книги"
1025,CUST012,PROD106,"Клавиатура механическая",1,3800.00,"2024-01-27","Электроника"
1026,CUST014,PROD407,"Мультиварка",1,6700.00,"2024-01-27","Бытовая техника"
1027,CUST013,PROD213,"Шорты спортивные",3,800.00,"2024-01-28","Одежда"
1028,CUST015,PROD311,"Атлас мира",1,1200.00,"2024-01-28","Книги"
1029,CUST014,PROD107,"Внешний жесткий диск",1,5200.00,"2024-01-29","Электроника"
1030,CUST016,PROD408,"Холодильник двухкамерный",1,34500.00,"2024-01-29","Бытовая техника"
1031,CUST015,PROD214,"Пальто шерстяное",1,12500.00,"2024-01-30","Одежда"
1032,CUST017,PROD312,"Словарь иностранных слов",1,680.00,"2024-01-30","Книги"
1033,CUST016,PROD108,"Фитнес-браслет",2,2900.00,"2024-01-31","Электроника"
1034,CUST018,PROD409,"Посудомоечная машина",1,28900.00,"2024-01-31","Бытовая техника"
1035,CUST017,PROD215,"Юбка карандаш",1,2400.00,"2024-02-01","Одежда"
1036,CUST019,PROD313,"Бизнес-литература",1,1560.00,"2024-02-01","Книги"
1037,CUST018,PROD109,"Веб-камера",1,1800.00,"2024-02-02","Электроника"
1038,CUST020,PROD410,"Стиральная машина",1,23400.00,"2024-02-02","Бытовая техника"
1039,CUST019,PROD216,"Свитер вязаный",1,3200.00,"2024-02-03","Одежда"
1040,CUST021,PROD314,"Научная фантастика",2,750.00,"2024-02-03","Книги"
1041,CUST020,PROD110,"Колонки Bluetooth",1,4200.00,"2024-02-04","Электроника"
1042,CUST022,PROD411,"Пылесос робот",1,18900.00,"2024-02-04","Бытовая техника"
1043,CUST021,PROD217,"Брюки классические",1,2800.00,"2024-02-05","Одежда"
1044,CUST023,PROD315,"Исторический роман",1,890.00,"2024-02-05","Книги"
1045,CUST022,PROD111,"Смарт-часы Apple",1,28900.00,"2024-02-06","Электроника"
1046,CUST024,PROD412,"Электрическая плита",1,15600.00,"2024-02-06","Бытовая техника"
1047,CUST023,PROD218,"Толстовка с капюшоном",1,1900.00,"2024-02-07","Одежда"
1048,CUST025,PROD316,"Поэзия серебряного века",1,540.00,"2024-02-07","Книги"
1049,CUST024,PROD112,"Игровой контроллер",1,3200.00,"2024-02-08","Электроника"
1050,CUST026,PROD413,"Вытяжка кухонная",1,7800.00,"2024-02-08","Бытовая техника"
1051,CUST025,PROD219,"Костюм деловой",1,15600.00,"2024-02-09","Одежда"
1052,CUST027,PROD317,"Детектив",1,670.00,"2024-02-09","Книги"
1053,CUST026,PROD113,"Системный блок",1,67800.00,"2024-02-10","Электроника"
1054,CUST028,PROD414,"Мясорубка электрическая",1,3400.00,"2024-02-10","Бытовая техника"
1055,CUST027,PROD220,"Пижама домашняя",2,1200.00,"2024-02-11","Одежда"
1056,CUST029,PROD318,"Фэнтези",1,780.00,"2024-02-11","Книги"
1057,CUST028,PROD114,"МФУ лазерный",1,15600.00,"2024-02-12","Электроника"
1058,CUST030,PROD415,"Тостер",1,2300.00,"2024-02-12","Бытовая техника"
1059,CUST029,PROD221,"Купальник",1,2100.00,"2024-02-13","Одежда"
1060,CUST031,PROD319,"Саморазвитие",1,1450.00,"2024-02-13","Книги"
1061,CUST030,PROD115,"Пауэрбанк",2,1800.00,"2024-02-14","Электроника"
1062,CUST032,PROD416,"Соковыжималка",1,4500.00,"2024-02-14","Бытовая техника"
1063,CUST031,PROD222,"Носки спортивные",5,150.00,"2024-02-15","Одежда"
1064,CUST033,PROD320,"Кулинарная книга",1,1250.00,"2024-02-15","Книги"
